#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
374,Beldum,Steel,Psychic,40,55,80,35,60,30,3,FALSE
375,Metang,Steel,Psychic,60,75,100,55,80,50,3,FALSE
376,Metagross,Steel,Psychic,80,135,130,95,90,70,3,FALSE
376,MetagrossMega Metagross,Steel,Psychic,80,145,150,105,110,110,3,FALSE
377,Regirock,Rock,,80,100,200,50,100,50,3,TRUE
378,Regice,Ice,,80,50,100,100,200,50,3,TRUE
379,Registeel,Steel,,80,75,150,75,150,50,3,TRUE
380,Latias,Dragon,Psychic,80,80,90,110,130,110,3,TRUE
380,LatiasMega Latias,Dragon,Psychic,80,100,120,140,150,110,3,TRUE
381,Latios,Dragon,Psychic,80,90,80,130,110,110,3,TRUE
381,LatiosMega Latios,Dragon,Psychic,80,130,100,160,120,110,3,TRUE
382,Kyogre,Water,,100,100,90,150,140,90,3,TRUE
382,KyogrePrimal Kyogre,Water,,100,150,90,180,160,90,3,TRUE
383,Groudon,Ground,,100,150,140,100,90,90,3,TRUE
383,GroudonPrimal Groudon,Ground,Fire,100,180,160,150,90,90,3,TRUE
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,TRUE
384,RayquazaMega Rayquaza,Dragon,Flying,105,180,100,180,100,115,3,TRUE
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,3,TRUE
386,DeoxysNormal Forme,Psychic,,50,150,50,150,50,150,3,TRUE
386,DeoxysAttack Forme,Psychic,,50,180,20,180,20,150,3,TRUE
386,DeoxysDefense Forme,Psychic,,50,70,160,70,160,90,3,TRUE
386,DeoxysSpeed Forme,Psychic,,50,95,90,95,90,180,3,TRUE
387,Turtwig,Grass,,55,68,64,45,55,31,4,FALSE
388,Grotle,Grass,,75,89,85,55,65,36,4,FALSE
389,Torterra,Grass,Ground,95,109,105,75,85,56,4,FALSE
390,Chimchar,Fire,,44,58,44,58,44,61,4,FALSE
391,Monferno,Fire,Fighting,64,78,52,78,52,81,4,FALSE
392,Infernape,Fire,Fighting,76,104,71,104,71,108,4,FALSE
393,Piplup,Water,,53,51,53,61,56,40,4,FALSE
394,Prinplup,Water,,64,66,68,81,76,50,4,FALSE
395,Empoleon,Water,Steel,84,86,88,111,101,60,4,FALSE
396,Starly,Normal,Flying,40,55,30,30,30,60,4,FALSE
397,Staravia,Normal,Flying,55,75,50,40,40,80,4,FALSE
398,Staraptor,Normal,Flying,85,120,70,50,60,100,4,FALSE
399,Bidoof,Normal,,59,45,40,35,40,31,4,FALSE
400,Bibarel,Normal,Water,79,85,60,55,60,71,4,FALSE
401,Kricketot,Bug,,37,25,41,25,41,25,4,FALSE
402,Kricketune,Bug,,77,85,51,55,51,65,4,FALSE
403,Shinx,Electric,,45,65,34,40,34,45,4,FALSE
404,Luxio,Electric,,60,85,49,60,49,60,4,FALSE
405,Luxray,Electric,,80,120,79,95,79,70,4,FALSE
406,Budew,Grass,Poison,40,30,35,50,70,55,4,FALSE
407,Roserade,Grass,Poison,60,70,65,125,105,90,4,FALSE
408,Cranidos,Rock,,67,125,40,30,30,58,4,FALSE
409,Rampardos,Rock,,97,165,60,65,50,58,4,FALSE
410,Shieldon,Rock,Steel,30,42,118,42,88,30,4,FALSE
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,4,FALSE
412,Burmy,Bug,,40,29,45,29,45,36,4,FALSE
413,WormadamPlant Cloak,Bug,Grass,60,59,85,79,105,36,4,FALSE
413,WormadamSandy Cloak,Bug,Ground,60,79,105,59,85,36,4,FALSE
413,WormadamTrash Cloak,Bug,Steel,60,69,95,69,95,36,4,FALSE
414,Mothim,Bug,Flying,70,94,50,94,50,66,4,FALSE
415,Combee,Bug,Flying,30,30,42,30,42,70,4,FALSE
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,4,FALSE
417,Pachirisu,Electric,,60,45,70,45,90,95,4,FALSE
418,Buizel,Water,,55,65,35,60,30,85,4,FALSE
419,Floatzel,Water,,85,105,55,85,50,115,4,FALSE
420,Cherubi,Grass,,45,35,45,62,53,35,4,FALSE
421,Cherrim,Grass,,70,60,70,87,78,85,4,FALSE
422,Shellos,Water,,76,48,48,57,62,34,4,FALSE
423,Gastrodon,Water,Ground,111,83,68,92,82,39,4,FALSE
424,Ambipom,Normal,,75,100,66,60,66,115,4,FALSE
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,4,FALSE
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,4,FALSE
427,Buneary,Normal,,55,66,44,44,56,85,4,FALSE
428,Lopunny,Normal,,65,76,84,54,96,105,4,FALSE
428,LopunnyMega Lopunny,Normal,Fighting,65,136,94,54,96,135,4,FALSE
429,Mismagius,Ghost,,60,60,60,105,105,105,4,FALSE
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,4,FALSE
431,Glameow,Normal,,49,55,42,42,37,85,4,FALSE
432,Purugly,Normal,,71,82,64,64,59,112,4,FALSE
433,Chingling,Psychic,,45,30,50,65,50,45,4,FALSE
434,Stunky,Poison,Dark,63,63,47,41,41,74,4,FALSE
435,Skuntank,Poison,Dark,103,93,67,71,61,84,4,FALSE
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,4,FALSE
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,4,FALSE
438,Bonsly,Rock,,50,80,95,10,45,10,4,FALSE
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,4,FALSE
440,Happiny,Normal,,100,5,5,15,65,30,4,FALSE
441,Chatot,Normal,Flying,76,65,45,92,42,91,4,FALSE
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,4,FALSE
443,Gible,Dragon,Ground,58,70,45,40,45,42,4,FALSE
444,Gabite,Dragon,Ground,68,90,65,50,55,82,4,FALSE
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,4,FALSE
445,GarchompMega Garchomp,Dragon,Ground,108,170,115,120,95,92,4,FALSE
446,Munchlax,Normal,,135,85,40,40,85,5,4,FALSE
447,Riolu,Fighting,,40,70,40,35,40,60,4,FALSE
448,Lucario,Fighting,Steel,70,110,70,115,70,90,4,FALSE
448,LucarioMega Lucario,Fighting,Steel,70,145,88,140,70,112,4,FALSE
449,Hippopotas,Ground,,68,72,78,38,42,32,4,FALSE
450,Hippowdon,Ground,,108,112,118,68,72,47,4,FALSE
451,Skorupi,Poison,Bug,40,50,90,30,55,65,4,FALSE
452,Drapion,Poison,Dark,70,90,110,60,75,95,4,FALSE
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,4,FALSE
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,4,FALSE
455,Carnivine,Grass,,74,100,72,90,72,46,4,FALSE
456,Finneon,Water,,49,49,56,49,61,66,4,FALSE
457,Lumineon,Water,,69,69,76,69,86,91,4,FALSE
458,Mantyke,Water,Flying,45,20,50,60,120,50,4,FALSE
459,Snover,Grass,Ice,60,62,50,62,60,40,4,FALSE
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,4,FALSE
460,AbomasnowMega Abomasnow,Grass,Ice,90,132,105,132,105,30,4,FALSE
461,Weavile,Dark,Ice,70,120,65,45,85,125,4,FALSE
462,Magnezone,Electric,Steel,70,70,115,130,90,60,4,FALSE
463,Lickilicky,Normal,,110,85,95,80,95,50,4,FALSE
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,4,FALSE
465,Tangrowth,Grass,,100,100,125,110,50,50,4,FALSE
466,Electivire,Electric,,75,123,67,95,85,95,4,FALSE
467,Magmortar,Fire,,75,95,67,125,95,83,4,FALSE
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,4,FALSE
469,Yanmega,Bug,Flying,86,76,86,116,56,95,4,FALSE
470,Leafeon,Grass,,65,110,130,60,65,95,4,FALSE
471,Glaceon,Ice,,65,60,110,130,95,65,4,FALSE
472,Gliscor,Ground,Flying,75,95,125,45,75,95,4,FALSE
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,4,FALSE
474,Porygon-Z,Normal,,85,80,70,135,75,90,4,FALSE
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,4,FALSE
475,GalladeMega Gallade,Psychic,Fighting,68,165,95,65,115,110,4,FALSE
476,Probopass,Rock,Steel,60,55,145,75,150,40,4,FALSE
477,Dusknoir,Ghost,,45,100,135,65,135,45,4,FALSE
478,Froslass,Ice,Ghost,70,80,70,80,70,110,4,FALSE
479,Rotom,Electric,Ghost,50,50,77,95,77,91,4,FALSE
479,RotomHeat Rotom,Electric,Fire,50,65,107,105,107,86,4,FALSE
479,RotomWash Rotom,Electric,Water,50,65,107,105,107,86,4,FALSE
479,RotomFrost Rotom,Electric,Ice,50,65,107,105,107,86,4,FALSE
479,RotomFan Rotom,Electric,Flying,50,65,107,105,107,86,4,FALSE
479,RotomMow Rotom,Electric,Grass,50,65,107,105,107,86,4,FALSE
480,Uxie,Psychic,,75,75,130,75,130,95,4,TRUE
481,Mesprit,Psychic,,80,105,105,105,105,80,4,TRUE
482,Azelf,Psychic,,75,125,70,125,70,115,4,TRUE
483,Dialga,Steel,Dragon,100,120,120,150,100,90,4,TRUE
484,Palkia,Water,Dragon,90,120,100,150,120,100,4,TRUE
485,Heatran,Fire,Steel,91,90,106,130,106,77,4,TRUE
486,Regigigas,Normal,,110,160,110,80,110,100,4,TRUE
487,GiratinaAltered Forme,Ghost,Dragon,150,100,120,100,120,90,4,TRUE
487,GiratinaOrigin Forme,Ghost,Dragon,150,120,100,120,100,90,4,TRUE
488,Cresselia,Psychic,,120,70,120,75,130,85,4,FALSE
489,Phione,Water,,80,80,80,80,80,80,4,FALSE
490,Manaphy,Water,,100,100,100,100,100,100,4,FALSE
491,Darkrai,Dark,,70,90,90,135,90,125,4,TRUE
492,ShayminLand Forme,Grass,,100,100,100,100,100,100,4,TRUE
492,ShayminSky Forme,Grass,Flying,100,103,75,120,75,127,4,TRUE
493,Arceus,Normal,,120,120,120,120,120,120,4,TRUE
494,Victini,Psychic,Fire,100,100,100,100,100,100,5,TRUE
495,Snivy,Grass,,45,45,55,45,55,63,5,FALSE
496,Servine,Grass,,60,60,75,60,75,83,5,FALSE
497,Serperior,Grass,,75,75,95,75,95,113,5,FALSE
498,Tepig,Fire,,65,63,45,45,45,45,5,FALSE
499,Pignite,Fire,Fighting,90,93,55,70,55,55,5,FALSE
500,Emboar,Fire,Fighting,110,123,65,100,65,65,5,FALSE
501,Oshawott,Water,,55,55,45,63,45,45,5,FALSE
502,Dewott,Water,,75,75,60,83,60,60,5,FALSE
503,Samurott,Water,,95,100,85,108,70,70,5,FALSE
504,Patrat,Normal,,45,55,39,35,39,42,5,FALSE
505,Watchog,Normal,,60,85,69,60,69,77,5,FALSE
506,Lillipup,Normal,,45,60,45,25,45,55,5,FALSE
507,Herdier,Normal,,65,80,65,35,65,60,5,FALSE
508,Stoutland,Normal,,85,110,90,45,90,80,5,FALSE
509,Purrloin,Dark,,41,50,37,50,37,66,5,FALSE
510,Liepard,Dark,,64,88,50,88,50,106,5,FALSE
511,Pansage,Grass,,50,53,48,53,48,64,5,FALSE
512,Simisage,Grass,,75,98,63,98,63,101,5,FALSE
513,Pansear,Fire,,50,53,48,53,48,64,5,FALSE
514,Simisear,Fire,,75,98,63,98,63,101,5,FALSE
515,Panpour,Water,,50,53,48,53,48,64,5,FALSE
516,Simipour,Water,,75,98,63,98,63,101,5,FALSE
517,Munna,Psychic,,76,25,45,67,55,24,5,FALSE
518,Musharna,Psychic,,116,55,85,107,95,29,5,FALSE
519,Pidove,Normal,Flying,50,55,50,36,30,43,5,FALSE
520,Tranquill,Normal,Flying,62,77,62,50,42,65,5,FALSE
521,Unfezant,Normal,Flying,80,115,80,65,55,93,5,FALSE
522,Blitzle,Electric,,45,60,32,50,32,76,5,FALSE
523,Zebstrika,Electric,,75,100,63,80,63,116,5,FALSE
524,Roggenrola,Rock,,55,75,85,25,25,15,5,FALSE
525,Boldore,Rock,,70,105,105,50,40,20,5,FALSE
526,Gigalith,Rock,,85,135,130,60,80,25,5,FALSE
527,Woobat,Psychic,Flying,55,45,43,55,43,72,5,FALSE
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,5,FALSE
529,Drilbur,Ground,,60,85,40,30,45,68,5,FALSE
530,Excadrill,Ground,Steel,110,135,60,50,65,88,5,FALSE
531,Audino,Normal,,103,60,86,60,86,50,5,FALSE
531,AudinoMega Audino,Normal,Fairy,103,60,126,80,126,50,5,FALSE
532,Timburr,Fighting,,75,80,55,25,35,35,5,FALSE
533,Gurdurr,Fighting,,85,105,85,40,50,40,5,FALSE
534,Conkeldurr,Fighting,,105,140,95,55,65,45,5,FALSE
535,Tympole,Water,,50,50,40,50,40,64,5,FALSE
536,Palpitoad,Water,Ground,75,65,55,65,55,69,5,FALSE
537,Seismitoad,Water,Ground,105,95,75,85,75,74,5,FALSE
538,Throh,Fighting,,120,100,85,30,85,45,5,FALSE
539,Sawk,Fighting,,75,125,75,30,75,85,5,FALSE
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,5,FALSE
541,Swadloon,Bug,Grass,55,63,90,50,80,42,5,FALSE
542,Leavanny,Bug,Grass,75,103,80,70,80,92,5,FALSE
543,Venipede,Bug,Poison,30,45,59,30,39,57,5,FALSE
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,5,FALSE
545,Scolipede,Bug,Poison,60,100,89,55,69,112,5,FALSE
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,5,FALSE
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,5,FALSE
548,Petilil,Grass,,45,35,50,70,50,30,5,FALSE
549,Lilligant,Grass,,70,60,75,110,75,90,5,FALSE
550,Basculin,Water,,70,92,65,80,55,98,5,FALSE
551,Sandile,Ground,Dark,50,72,35,35,35,65,5,FALSE
552,Krokorok,Ground,Dark,60,82,45,45,45,74,5,FALSE
553,Krookodile,Ground,Dark,95,117,80,65,70,92,5,FALSE
554,Darumaka,Fire,,70,90,45,15,45,50,5,FALSE
555,DarmanitanStandard Mode,Fire,,105,140,55,30,55,95,5,FALSE
555,DarmanitanZen Mode,Fire,Psychic,105,30,105,140,105,55,5,FALSE
556,Maractus,Grass,,75,86,67,106,67,60,5,FALSE
557,Dwebble,Bug,Rock,50,65,85,35,35,55,5,FALSE
558,Crustle,Bug,Rock,70,95,125,65,75,45,5,FALSE
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,5,FALSE
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,5,FALSE
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,5,FALSE
562,Yamask,Ghost,,38,30,85,55,65,30,5,FALSE
563,Cofagrigus,Ghost,,58,50,145,95,105,30,5,FALSE
564,Tirtouga,Water,Rock,54,78,103,53,45,22,5,FALSE
565,Carracosta,Water,Rock,74,108,133,83,65,32,5,FALSE
566,Archen,Rock,Flying,55,112,45,74,45,70,5,FALSE
567,Archeops,Rock,Flying,75,140,65,112,65,110,5,FALSE
568,Trubbish,Poison,,50,50,62,40,62,65,5,FALSE
569,Garbodor,Poison,,80,95,82,60,82,75,5,FALSE
570,Zorua,Dark,,40,65,40,80,40,65,5,FALSE
571,Zoroark,Dark,,60,105,60,120,60,105,5,FALSE
572,Minccino,Normal,,55,50,40,40,40,75,5,FALSE
573,Cinccino,Normal,,75,95,60,65,60,115,5,FALSE
574,Gothita,Psychic,,45,30,50,55,65,45,5,FALSE
575,Gothorita,Psychic,,60,45,70,75,85,55,5,FALSE
576,Gothitelle,Psychic,,70,55,95,95,110,65,5,FALSE
577,Solosis,Psychic,,45,30,40,105,50,20,5,FALSE
578,Duosion,Psychic,,65,40,50,125,60,30,5,FALSE
579,Reuniclus,Psychic,,110,65,75,125,85,30,5,FALSE
580,Ducklett,Water,Flying,62,44,50,44,50,55,5,FALSE
581,Swanna,Water,Flying,75,87,63,87,63,98,5,FALSE
582,Vanillite,Ice,,36,50,50,65,60,44,5,FALSE
583,Vanillish,Ice,,51,65,65,80,75,59,5,FALSE
584,Vanilluxe,Ice,,71,95,85,110,95,79,5,FALSE
585,Deerling,Normal,Grass,60,60,50,40,50,75,5,FALSE
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,5,FALSE
587,Emolga,Electric,Flying,55,75,60,75,60,103,5,FALSE
588,Karrablast,Bug,,50,75,45,40,45,60,5,FALSE
589,Escavalier,Bug,Steel,70,135,105,60,105,20,5,FALSE
590,Foongus,Grass,Poison,69,55,45,55,55,15,5,FALSE
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,5,FALSE
592,Frillish,Water,Ghost,55,40,50,65,85,40,5,FALSE
593,Jellicent,Water,Ghost,100,60,70,85,105,60,5,FALSE
594,Alomomola,Water,,165,75,80,40,45,65,5,FALSE
595,Joltik,Bug,Electric,50,47,50,57,50,65,5,FALSE
596,Galvantula,Bug,Electric,70,77,60,97,60,108,5,FALSE
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,5,FALSE
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,5,FALSE
599,Klink,Steel,,40,55,70,45,60,30,5,FALSE
600,Klang,Steel,,60,80,95,70,85,50,5,FALSE
601,Klinklang,Steel,,60,100,115,70,85,90,5,FALSE
602,Tynamo,Electric,,35,55,40,45,40,60,5,FALSE
603,Eelektrik,Electric,,65,85,70,75,70,40,5,FALSE
604,Eelektross,Electric,,85,115,80,105,80,50,5,FALSE
605,Elgyem,Psychic,,55,55,55,85,55,30,5,FALSE
606,Beheeyem,Psychic,,75,75,75,125,95,40,5,FALSE
607,Litwick,Ghost,Fire,50,30,55,65,55,20,5,FALSE
608,Lampent,Ghost,Fire,60,40,60,95,60,55,5,FALSE
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,5,FALSE
610,Axew,Dragon,,46,87,60,30,40,57,5,FALSE
611,Fraxure,Dragon,,66,117,70,40,50,67,5,FALSE
612,Haxorus,Dragon,,76,147,90,60,70,97,5,FALSE
613,Cubchoo,Ice,,55,70,40,60,40,40,5,FALSE
614,Beartic,Ice,,95,110,80,70,80,50,5,FALSE
615,Cryogonal,Ice,,70,50,30,95,135,105,5,FALSE
616,Shelmet,Bug,,50,40,85,40,65,25,5,FALSE
617,Accelgor,Bug,,80,70,40,100,60,145,5,FALSE
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,5,FALSE
619,Mienfoo,Fighting,,45,85,50,55,50,65,5,FALSE
620,Mienshao,Fighting,,65,125,60,95,60,105,5,FALSE
621,Druddigon,Dragon,,77,120,90,60,90,48,5,FALSE
622,Golett,Ground,Ghost,59,74,50,35,50,35,5,FALSE
623,Golurk,Ground,Ghost,89,124,80,55,80,55,5,FALSE
624,Pawniard,Dark,Steel,45,85,70,40,40,60,5,FALSE
625,Bisharp,Dark,Steel,65,125,100,60,70,70,5,FALSE
626,Bouffalant,Normal,,95,110,95,40,95,55,5,FALSE
627,Rufflet,Normal,Flying,70,83,50,37,50,60,5,FALSE
628,Braviary,Normal,Flying,100,123,75,57,75,80,5,FALSE
629,Vullaby,Dark,Flying,70,55,75,45,65,60,5,FALSE
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,5,FALSE
631,Heatmor,Fire,,85,97,66,105,66,65,5,FALSE
632,Durant,Bug,Steel,58,109,112,48,48,109,5,FALSE
633,Deino,Dark,Dragon,52,65,50,45,50,38,5,FALSE
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,5,FALSE
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,5,FALSE
636,Larvesta,Bug,Fire,55,85,55,50,55,60,5,FALSE
637,Volcarona,Bug,Fire,85,60,65,135,105,100,5,FALSE
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,5,TRUE
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,5,TRUE
640,Virizion,Grass,Fighting,91,90,72,90,129,108,5,TRUE
641,TornadusIncarnate Forme,Flying,,79,115,70,125,80,111,5,TRUE
641,TornadusTherian Forme,Flying,,79,100,80,110,90,121,5,TRUE
642,ThundurusIncarnate Forme,Electric,Flying,79,115,70,125,80,111,5,TRUE
642,ThundurusTherian Forme,Electric,Flying,79,105,70,145,80,101,5,TRUE
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,5,TRUE
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,5,TRUE
645,LandorusIncarnate Forme,Ground,Flying,89,125,90,115,80,101,5,TRUE
645,LandorusTherian Forme,Ground,Flying,89,145,90,105,80,91,5,TRUE
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,5,TRUE
646,KyuremBlack Kyurem,Dragon,Ice,125,170,100,120,90,95,5,TRUE
646,KyuremWhite Kyurem,Dragon,Ice,125,120,90,170,100,95,5,TRUE
647,KeldeoOrdinary Forme,Water,Fighting,91,72,90,129,90,108,5,FALSE
647,KeldeoResolute Forme,Water,Fighting,91,72,90,129,90,108,5,FALSE
648,MeloettaAria Forme,Normal,Psychic,100,77,77,128,128,90,5,FALSE
648,MeloettaPirouette Forme,Normal,Fighting,100,128,90,77,77,128,5,FALSE
649,Genesect,Bug,Steel,71,120,95,120,95,99,5,FALSE
650,Chespin,Grass,,56,61,65,48,45,38,6,FALSE
651,Quilladin,Grass,,61,78,95,56,58,57,6,FALSE
652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,6,FALSE
653,Fennekin,Fire,,40,45,40,62,60,60,6,FALSE
654,Braixen,Fire,,59,59,58,90,70,73,6,FALSE
655,Delphox,Fire,Psychic,75,69,72,114,100,104,6,FALSE
656,Froakie,Water,,41,56,40,62,44,71,6,FALSE
657,Frogadier,Water,,54,63,52,83,56,97,6,FALSE
658,Greninja,Water,Dark,72,95,67,103,71,122,6,FALSE
659,Bunnelby,Normal,,38,36,38,32,36,57,6,FALSE
660,Diggersby,Normal,Ground,85,56,77,50,77,78,6,FALSE
661,Fletchling,Normal,Flying,45,50,43,40,38,62,6,FALSE
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,6,FALSE
663,Talonflame,Fire,Flying,78,81,71,74,69,126,6,FALSE
664,Scatterbug,Bug,,38,35,40,27,25,35,6,FALSE
665,Spewpa,Bug,,45,22,60,27,30,29,6,FALSE
666,Vivillon,Bug,Flying,80,52,50,90,50,89,6,FALSE
667,Litleo,Fire,Normal,62,50,58,73,54,72,6,FALSE
668,Pyroar,Fire,Normal,86,68,72,109,66,106,6,FALSE
669,Flabébé,Fairy,,44,38,39,61,79,42,6,FALSE
670,Floette,Fairy,,54,45,47,75,98,52,6,FALSE
671,Florges,Fairy,,78,65,68,112,154,75,6,FALSE
672,Skiddo,Grass,,66,65,48,62,57,52,6,FALSE
673,Gogoat,Grass,,123,100,62,97,81,68,6,FALSE
674,Pancham,Fighting,,67,82,62,46,48,43,6,FALSE
675,Pangoro,Fighting,Dark,95,124,78,69,71,58,6,FALSE
676,Furfrou,Normal,,75,80,60,65,90,102,6,FALSE
677,Espurr,Psychic,,62,48,54,63,60,68,6,FALSE
678,MeowsticMale,Psychic,,74,48,76,83,81,104,6,FALSE
678,MeowsticFemale,Psychic,,74,48,76,83,81,104,6,FALSE
679,Honedge,Steel,Ghost,45,80,100,35,37,28,6,FALSE
680,Doublade,Steel,Ghost,59,110,150,45,49,35,6,FALSE
681,AegislashBlade Forme,Steel,Ghost,60,150,50,150,50,60,6,FALSE
681,AegislashShield Forme,Steel,Ghost,60,50,150,50,150,60,6,FALSE
682,Spritzee,Fairy,,78,52,60,63,65,23,6,FALSE
683,Aromatisse,Fairy,,101,72,72,99,89,29,6,FALSE
684,Swirlix,Fairy,,62,48,66,59,57,49,6,FALSE
685,Slurpuff,Fairy,,82,80,86,85,75,72,6,FALSE
686,Inkay,Dark,Psychic,53,54,53,37,46,45,6,FALSE
687,Malamar,Dark,Psychic,86,92,88,68,75,73,6,FALSE
688,Binacle,Rock,Water,42,52,67,39,56,50,6,FALSE
689,Barbaracle,Rock,Water,72,105,115,54,86,68,6,FALSE
690,Skrelp,Poison,Water,50,60,60,60,60,30,6,FALSE
691,Dragalge,Poison,Dragon,65,75,90,97,123,44,6,FALSE
692,Clauncher,Water,,50,53,62,58,63,44,6,FALSE
693,Clawitzer,Water,,71,73,88,120,89,59,6,FALSE
694,Helioptile,Electric,Normal,44,38,33,61,43,70,6,FALSE
695,Heliolisk,Electric,Normal,62,55,52,109,94,109,6,FALSE
696,Tyrunt,Rock,Dragon,58,89,77,45,45,48,6,FALSE
697,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,6,FALSE
698,Amaura,Rock,Ice,77,59,50,67,63,46,6,FALSE
699,Aurorus,Rock,Ice,123,77,72,99,92,58,6,FALSE
700,Sylveon,Fairy,,95,65,65,110,130,60,6,FALSE
701,Hawlucha,Fighting,Flying,78,92,75,74,63,118,6,FALSE
702,Dedenne,Electric,Fairy,67,58,57,81,67,101,6,FALSE
703,Carbink,Rock,Fairy,50,50,150,50,150,50,6,FALSE
704,Goomy,Dragon,,45,50,35,55,75,40,6,FALSE
705,Sliggoo,Dragon,,68,75,53,83,113,60,6,FALSE
706,Goodra,Dragon,,90,100,70,110,150,80,6,FALSE
707,Klefki,Steel,Fairy,57,80,91,80,87,75,6,FALSE
708,Phantump,Ghost,Grass,43,70,48,50,60,38,6,FALSE
709,Trevenant,Ghost,Grass,85,110,76,65,82,56,6,FALSE
710,PumpkabooAverage Size,Ghost,Grass,49,66,70,44,55,51,6,FALSE
710,PumpkabooSmall Size,Ghost,Grass,44,66,70,44,55,56,6,FALSE
710,PumpkabooLarge Size,Ghost,Grass,54,66,70,44,55,46,6,FALSE
710,PumpkabooSuper Size,Ghost,Grass,59,66,70,44,55,41,6,FALSE
711,GourgeistAverage Size,Ghost,Grass,65,90,122,58,75,84,6,FALSE
711,GourgeistSmall Size,Ghost,Grass,55,85,122,58,75,99,6,FALSE
711,GourgeistLarge Size,Ghost,Grass,75,95,122,58,75,69,6,FALSE
711,GourgeistSuper Size,Ghost,Grass,85,100,122,58,75,54,6,FALSE
712,Bergmite,Ice,,55,69,85,32,35,28,6,FALSE
713,Avalugg,Ice,,95,117,184,44,46,28,6,FALSE
714,Noibat,Flying,Dragon,40,30,35,45,40,55,6,FALSE
715,Noivern,Flying,Dragon,85,70,80,97,80,123,6,FALSE
716,Xerneas,Fairy,,126,131,95,131,98,99,6,TRUE
717,Yveltal,Dark,Flying,126,131,95,131,98,99,6,TRUE
718,Zygarde50% Forme,Dragon,Ground,108,100,121,81,95,95,6,TRUE
719,Diancie,Rock,Fairy,50,100,150,100,150,50,6,TRUE
719,DiancieMega Diancie,Rock,Fairy,50,160,110,160,110,110,6,TRUE
720,HoopaHoopa Confined,Psychic,Ghost,80,110,60,150,130,70,6,TRUE
720,HoopaHoopa Unbound,Psychic,Dark,80,160,60,170,130,80,6,TRUE
721,Volcanion,Fire,Water,80,110,120,130,90,70,6,TRUE
